Value,State,Volume
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
549,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
548,"1,1",High
547,"1,1",High
547,"1,1",High
547,"1,1",High
547,"1,1",High
547,"1,1",High
547,"1,1",High
547,"1,1",High
547,"1,1",High
547,"1,1",High
547,"1,1",High
547,"1,1",High
547,"1,1",High
547,"1,1",High
547,"1,1",High
547,"1,1",High
547,"1,1",High
547,"1,1",High
547,"1,1",High
547,"1,1",High
547,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
546,"1,1",High
545,"1,1",High
545,"1,1",High
545,"1,1",High
545,"1,1",High
545,"1,1",High
545,"1,1",High
545,"1,1",High
545,"1,1",High
545,"1,1",High
545,"1,1",High
545,"1,1",High
545,"1,1",High
545,"1,1",High
545,"1,1",High
545,"1,1",High
545,"1,1",High
545,"1,1",High
545,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
544,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
543,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
542,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
541,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
540,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
539,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
538,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
537,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
